OCEAN,SAMPLEID,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,FEO_TOTAL,MGO,CAO,NA2O,K2O,P2O5,MNO
Atlantic,ODP0153-0920D-022R-005/070-074,23.34,-45.02,44.14,,1.39,9.44,,,,9.44,44.63,0.21,,,,
Atlantic,ODP0153-0920D-022R-005/070-074,23.34,-45.02,,,,,,,,,,,,,,
Atlantic,PIL6707-005-A,-1.12,-14.87,38.55,0.04,2.04,7.23,,1.76,,8.27,35.88,0.37,0.42,0.05,,0.41
Atlantic,PIL6707-013-A,-0.31,-18.43,42.36,0.10,3.36,5.55,,3.07,,8.07,36.48,2.24,0.62,0.03,,0.10
Atlantic,PIL6707-033-A,-1.13,-24.08,37.62,0.03,1.72,5.45,,1.44,,6.35,37.80,0.50,0.16,0.02,0.04,0.05
Atlantic,ODP0109-0670A-005-001/125-127,23.17,-45.32,,,,,,,,,,,,,,
Atlantic,ODP0109-0670A-005-001/125-127,23.17,-45.32,41.27,0.01,0.53,,,,8.11,8.11,48.41,0.01,0.02,0.01,0.00,0.14
Atlantic,ODP0109-0670A-005-001/008-011,23.17,-45.32,,,,,,,,,,,,,,
Atlantic,ODP0109-0670A-005-001/008-011,23.17,-45.32,43.65,0.02,2.03,,,,7.97,7.97,43.04,1.77,0.00,0.00,0.00,0.13
Atlantic,ODP0109-0670A-005-002/118-120,23.17,-45.32,,,,,,,,,,,,,,
